"key","context","en","zh-CN","zh-TW","status"
"language.label","Global language selector label","Language","语言","語言","ai_draft"
"language.english","Language name shown in its own language","English","English","English","ai_draft"
"language.simplifiedChinese","Language name shown in its own language","Simplified Chinese","简体中文","简体中文","ai_draft"
"language.traditionalChinese","Language name shown in its own language","Traditional Chinese","繁體中文","繁體中文","ai_draft"
"common.retry","Retry button","Retry","重试","重試","ai_draft"
"common.close","Close button","Close","关闭","關閉","ai_draft"
"common.backToLobby","Navigation button","Back to lobby","返回大厅","返回大廳","ai_draft"
"common.cancel","Cancel action","Cancel","取消","取消","ai_draft"
"common.unavailable","Unavailable value","Unavailable","不可用","無法使用","ai_draft"
"common.loading","Generic loading status","Loading…","正在加载…","載入中…","ai_draft"
"common.errorCode","Error code prefix","Error code: {code}","错误代码：{code}","錯誤代碼：{code}","ai_draft"
"common.you","Current player label","You","你","你","ai_draft"
"common.remove","Remove action","Remove","移除","移除","ai_draft"
"common.join","Join action","Join","加入","加入","ai_draft"
"common.hide","Hide action","Hide","隐藏","隱藏","ai_draft"
"common.jade","Canonical soft-currency name; product specification requires 玉","Jade","玉","玉","ai_draft"
"auth.title","Product title","Mahjong Online","在线麻将","線上麻將","ai_draft"
"auth.alpha","Pre-release product stage","Alpha","Alpha 测试版","Alpha 測試版","ai_draft"
"auth.continueGuest","Guest sign-in button","Continue as Guest","以访客身份继续","以訪客身分繼續","ai_draft"
"auth.analyticsConsent","Optional analytics checkbox","Share optional gameplay analytics to help improve Mahjong.","分享可选的游戏分析数据，帮助改进麻将体验。","分享選用的遊戲分析資料，協助改善麻將體驗。","ai_draft"
"auth.analyticsDetail","Privacy explanation under analytics consent","This includes tutorial and queue journey events. Essential reliability diagnostics remain on. We never include email, birth date, chat, or concealed tiles.","这包括教程和排队流程事件。必要的可靠性诊断会保持启用。我们绝不会收集电子邮箱、出生日期、聊天内容或暗牌。","這包括教學與排隊流程事件。必要的可靠性診斷會保持啟用。我們絕不會收集電子郵件、出生日期、聊天內容或暗牌。","ai_draft"
"auth.methodLabel","Accessible label for email authentication tabs","Email sign-in method","电子邮箱登录方式","電子郵件登入方式","ai_draft"
"auth.signIn","Sign-in tab","Sign in","登录","登入","ai_draft"
"auth.createAccount","Account-registration tab and action","Create account","创建账号","建立帳號","ai_draft"
"auth.email","Email field label","Email","电子邮箱","電子郵件","ai_draft"
"auth.password","Password field label","Password","密码","密碼","ai_draft"
"auth.username","Username field label","Username","用户名","使用者名稱","ai_draft"
"auth.country","Country field label","Country","国家或地区","國家或地區","ai_draft"
"auth.verificationCode","One-time verification code field","Verification code","验证码","驗證碼","ai_draft"
"auth.birthMonthYear","Age-gate birth month and year label","Birth month and year","出生月份和年份","出生月份與年份","ai_draft"
"auth.birthMonthLabel","Accessible label for birth-month select","Birth month","出生月份","出生月份","ai_draft"
"auth.birthYearLabel","Accessible label for birth-year select","Birth year","出生年份","出生年份","ai_draft"
"auth.month","Empty birth-month option","Month","月份","月份","ai_draft"
"auth.year","Empty birth-year option","Year","年份","年份","ai_draft"
"auth.ageConfirm","Age-gate confirmation checkbox","I confirm this birth month and year are accurate.","我确认此出生月份和年份准确无误。","我確認此出生月份與年份正確無誤。","ai_draft"
"auth.signingIn","Sign-in progress","Signing in…","正在登录…","登入中…","ai_draft"
"auth.signInEmail","Email sign-in submit button","Sign in with email","使用电子邮箱登录","使用電子郵件登入","ai_draft"
"auth.sendingCode","Verification-code request progress","Sending code…","正在发送验证码…","正在傳送驗證碼…","ai_draft"
"auth.sendCode","Verification-code request action","Send verification code","发送验证码","傳送驗證碼","ai_draft"
"auth.creatingAccount","Registration progress","Creating account…","正在创建账号…","正在建立帳號…","ai_draft"
"settings.account","Settings section eyebrow","Account","账号","帳號","ai_draft"
"settings.title","Settings screen title","Settings","设置","設定","ai_draft"
"settings.description","Settings account-sync explanation","Preferences are saved to your Mahjong account and follow registered players to other devices.","偏好设置会保存到你的麻将账号，并会随已注册玩家同步到其他设备。","偏好設定會儲存至你的麻將帳號，已註冊玩家在其他裝置上也會同步套用。","ai_draft"
"settings.learning","Learning settings category","Learning","学习","學習","ai_draft"
"settings.tutorial","Tutorial settings title","Tutorial","教程","教學","ai_draft"
"settings.showLearn","Tutorial visibility toggle","Show Learn section","显示“学习”区域","顯示「學習」區域","ai_draft"
"settings.showLearnHelp","Tutorial visibility setting help","Hide the tutorial card from the lobby. You can always turn it back on here.","在大厅中隐藏教程卡片。你随时可以在这里重新开启。","在大廳中隱藏教學卡片。你隨時可以在這裡重新開啟。","ai_draft"
"settings.privacy","Privacy settings category","Privacy","隐私","隱私","ai_draft"
"settings.analytics","Analytics settings title","Analytics","分析","分析","ai_draft"
"settings.shareAnalytics","Analytics consent toggle","Share optional gameplay analytics","分享可选的游戏分析数据","分享選用的遊戲分析資料","ai_draft"
"settings.shareAnalyticsHelp","Analytics consent help","Helps improve tutorial and queue journeys. Email, birth date, chat, and concealed tiles are never included.","帮助改进教程和排队流程。绝不会包含电子邮箱、出生日期、聊天内容或暗牌。","協助改善教學與排隊流程。絕不會包含電子郵件、出生日期、聊天內容或暗牌。","ai_draft"
"settings.rules","Rules settings category","Rules","规则","規則","ai_draft"
"settings.loading","Account-settings load status","Loading account settings…","正在加载账号设置…","正在載入帳號設定…","ai_draft"
"settings.saving","Account-settings save status","Saving to your account…","正在保存到你的账号…","正在儲存至你的帳號…","ai_draft"
"settings.saved","Account-settings saved status","Settings saved to your account.","设置已保存到你的账号。","設定已儲存至你的帳號。","ai_draft"
"settings.syncError","AGS Cloud Save settings error","Settings could not sync with AccelByte Cloud Save.","设置无法与 AccelByte 云存档同步。","設定無法與 AccelByte 雲端存檔同步。","ai_draft"
"header.walletLabel","Accessible label for the currency balances","Virtual currency balances","虚拟货币余额","虛擬貨幣餘額","ai_draft"
"header.store","Store navigation action","Store","商店","商店","ai_draft"
"header.edit","Profile edit disclosure","Edit","编辑","編輯","ai_draft"
"header.guestPrefix","Guest persistence warning before account action","Progress is tied to this device until you","在你创建账号之前，游戏进度只会保存在此设备上。请","在你建立帳號之前，遊戲進度只會保存在此裝置上。請","ai_draft"
"header.createAccount","Inline guest-upgrade action","create an account","创建账号","建立帳號","ai_draft"
"header.reserved","Reserved currency message","{count} Jade reserved for your current table.","当前牌桌已预留 {count} 玉。","目前牌桌已保留 {count} 玉。","ai_draft"
"header.matchHistory","Match-history label","Match History","对局记录","對局紀錄","ai_draft"
"header.openMatchHistory","Accessible match-history action label","Open match history","打开对局记录","開啟對局紀錄","ai_draft"
"header.winsGames","Compact player record; wins and hands played","{wins} Wins / {games} Games Played","{wins} 胜 / 已玩 {games} 局","{wins} 勝 / 已玩 {games} 局","ai_draft"
"header.playGame","Empty match-history prompt","Play a Game","开始一局","開始一局","ai_draft"
"header.progress","Progression label","Progress","进度","進度","ai_draft"
"header.openProgress","Accessible progression action label","Open progression","打开成长进度","開啟成長進度","ai_draft"
"header.openProgressLevel","Accessible progression action with current level","Open progression, level {level}","打开成长进度，等级 {level}","開啟成長進度，等級 {level}","ai_draft"
"header.level","Player level","Level {level}","等级 {level}","等級 {level}","ai_draft"
"header.noProgress","Empty progression state","No progress yet","暂无进度","尚無進度","ai_draft"
"header.viewProgress","Progression navigation action","View Progress","查看进度","查看進度","ai_draft"
"header.maximumLevel","Maximum player level state","Maximum level","已达最高等级","已達最高等級","ai_draft"
"header.levelProgress","Accessible label for level progress bar","Level {level} progress","等级 {level} 进度","等級 {level} 進度","ai_draft"
"header.connecting","Lobby connection progress","Connecting…","正在连接…","連線中…","ai_draft"
"header.reconnecting","Lobby reconnection status","Connection lost. Reconnecting…","连接已中断，正在重新连接…","連線已中斷，正在重新連線…","ai_draft"
"practice.eyebrow","Practice mode category","Solo Practice","单人练习","單人練習","ai_draft"
"practice.title","Practice mode title","Play a full hand against three bots","与三名电脑对手完成一局","與三名電腦對手完成一局","ai_draft"
"practice.description","Practice mode description","Untimed, no queue, and no pressure. Practice does not change Jade, rating, levels, or achievements. Progression is earned in Online Play.","不限时、无需排队、毫无压力。练习不会改变玉、评分、等级或成就；成长进度需通过在线对局获得。","不限時、無須排隊、毫無壓力。練習不會改變玉、評分、等級或成就；成長進度須透過線上對局獲得。","ai_draft"
"practice.action","Start practice action","Practice vs Bots","与电脑练习","與電腦練習","ai_draft"
"practice.unconfigured","Practice service unavailable error","Practice is unavailable because the match service is not configured.","由于对局服务尚未配置，练习模式目前不可用。","由於對局服務尚未設定，練習模式目前無法使用。","ai_draft"
"practice.leaveFailed","Previous-table cleanup error","We couldn't leave your previous table. Retry before starting another.","无法离开上一张牌桌。请重试后再开始新对局。","無法離開上一張牌桌。請重試後再開始新對局。","ai_draft"
"practice.tableActive","Practice blocked by active table","A table is already active. Leave it before starting Practice.","已有一张牌桌处于活动状态。请先离开，再开始练习。","已有一張牌桌處於活動狀態。請先離開，再開始練習。","ai_draft"
"practice.retryLeave","Retry leaving a table","Retry leaving table","重试离开牌桌","重試離開牌桌","ai_draft"
"practice.leaveCurrent","Leave current table action","Leave current table","离开当前牌桌","離開目前牌桌","ai_draft"
"lobby.learnTitle","Tutorial card title","Learn to Play","学习玩法","學習玩法","ai_draft"
"lobby.learnNew","Tutorial card description before onboarding","Learn turns, winning shapes, claim words, and Tai on the real table. Your first completion or intentional skip awards 500 XP.","在真实牌桌上学习回合、胡牌牌型、吃碰杠术语和台数。首次完成或主动跳过可获得 500 经验值。","在真實牌桌上學習回合、胡牌牌型、吃碰槓術語與台數。首次完成或主動略過可獲得 500 經驗值。","ai_draft"
"lobby.learnReplay","Tutorial card description after completion","Replay the beginner lessons any time. Untimed, skippable, and safe.","随时重玩新手课程。不限时、可跳过，放心练习。","隨時重玩新手課程。不限時、可略過，放心練習。","ai_draft"
"lobby.learnResume","Tutorial card description after a skip","Pick up the four beginner lessons whenever you are ready.","准备好后，随时继续四节新手课程。","準備好後，隨時繼續四節新手課程。","ai_draft"
"lobby.startTutorial","Start tutorial action","Start the tutorial","开始教程","開始教學","ai_draft"
"lobby.continueTutorial","Resume tutorial action","Continue the tutorial","继续教程","繼續教學","ai_draft"
"lobby.replayTutorial","Replay tutorial action","Replay the tutorial","重玩教程","重玩教學","ai_draft"
"lobby.playOnline","Online mode category","Play Online","在线对局","線上對局","ai_draft"
"lobby.playAtTier","Online table title","Play one hand at {tier}","在{tier}进行一局","在{tier}進行一局","ai_draft"
"lobby.onlineDescription","Quick Play duration and player count","One live hand against three humans · about 8 to 15 minutes.","与三名真人玩家进行一局 · 约 8 至 15 分钟。","與三名真人玩家進行一局 · 約 8 至 15 分鐘。","ai_draft"
"lobby.loadingJade","Jade-balance loading status","Loading Jade balance…","正在加载玉余额…","正在載入玉餘額…","ai_draft"
"lobby.retryBalance","Retry Jade-balance load","Retry balance","重试加载余额","重試載入餘額","ai_draft"
"lobby.jadeAvailable","Available Jade amount","{count} Jade available","可用玉：{count}","可用玉：{count}","ai_draft"
"lobby.jadeReserved","Reserved Jade amount","{count} Jade reserved for your table","牌桌已预留 {count} 玉","牌桌已保留 {count} 玉","ai_draft"
"lobby.poolUnavailable","Online matchmaking configuration error","Online play is unavailable because the matchmaking pool is not configured.","由于匹配池尚未配置，在线对局目前不可用。","由於配對池尚未設定，線上對局目前無法使用。","ai_draft"
"lobby.findTable","Start matchmaking action","Find a table","寻找牌桌","尋找牌桌","ai_draft"
"lobby.fullRotationQueue","Full Rotation queue label","Full Rotation queue","全圈模式队列","全圈模式佇列","ai_draft"
"lobby.quickPlayQueue","Quick Play queue label","Quick Play queue","快速对局队列","快速對局佇列","ai_draft"
"lobby.matchmakingLabel","Accessible matchmaking panel label","{mode} matchmaking status","{mode}匹配状态","{mode}配對狀態","ai_draft"
"lobby.quickPlay","Quick Play mode name","Quick Play","快速对局","快速對局","ai_draft"
"lobby.fullRotation","Full Rotation mode name","Full Rotation","全圈模式","全圈模式","ai_draft"
"lobby.joiningQueue","Matchmaking queue progress","Joining queue…","正在加入队列…","正在加入佇列…","ai_draft"
"lobby.releasingJade","Jade reservation release progress","Releasing Jade reservation…","正在释放预留的玉…","正在釋放保留的玉…","ai_draft"
"lobby.queueAlternative","Slow-queue alternative explanation","You can keep waiting, or play a Practice hand now instead.","你可以继续等待，也可以立即进行一局练习。","你可以繼續等待，也可以立即進行一局練習。","ai_draft"
